Question or Query,Total - Both Male & Female,Male,Female,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),18-24,25-34,35-44,45-54,55-64
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Total,1002,490,512,281,276,279,113,53,129,225,261,211,176
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%,13%,22%,26%,21%,18%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Food  Beverages   More ,323,173,150,98,87,87,37,14,61,79,82,55,46
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Food  Beverages   More ,32%,35%,29%,35%,32%,31%,33%,26%,47%,35%,31%,26%,26%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Food  Beverages   Same,488,248,240,141,137,132,53,25,50,108,120,111,99
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Food  Beverages   Same,49%,51%,47%,50%,50%,47%,47%,47%,39%,48%,46%,53%,56%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Food  Beverages   Less,191,69,122,42,52,60,23,14,18,38,59,45,31
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Food  Beverages   Less,19%,14%,24%,15%,19%,22%,20%,26%,14%,17%,23%,21%,18%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Beauty  Cosmetics   More ,167,85,82,37,47,53,23,7,42,29,45,31,20
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Beauty  Cosmetics   More ,17%,17%,16%,13%,17%,19%,20%,13%,33%,13%,17%,15%,11%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Beauty  Cosmetics   Same,453,242,211,145,126,108,50,24,53,94,121,104,81
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Beauty  Cosmetics   Same,45%,49%,41%,52%,46%,39%,44%,45%,41%,42%,46%,49%,46%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Beauty  Cosmetics   Less,382,163,219,99,103,118,40,22,34,102,95,76,75
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Beauty  Cosmetics   Less,38%,33%,43%,35%,37%,42%,35%,42%,26%,45%,36%,36%,43%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Health  Wellness   More ,189,121,68,44,65,50,21,9,44,38,52,24,31
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Health  Wellness   More ,19%,25%,13%,16%,24%,18%,19%,17%,34%,17%,20%,11%,18%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Health  Wellness   Same,540,265,275,173,137,144,59,27,57,120,138,126,99
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Health  Wellness   Same,54%,54%,54%,62%,50%,52%,52%,51%,44%,53%,53%,60%,56%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Health  Wellness   Less,273,104,169,64,74,85,33,17,28,67,71,61,46
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Health  Wellness   Less,27%,21%,33%,23%,27%,30%,29%,32%,22%,30%,27%,29%,26%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Fashion  Clothing   More ,242,128,114,73,58,65,35,11,61,56,57,43,25
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Fashion  Clothing   More ,24%,26%,22%,26%,21%,23%,31%,21%,47%,25%,22%,20%,14%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Fashion  Clothing   Same,451,236,215,130,123,128,50,20,53,93,115,105,85
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Fashion  Clothing   Same,45%,48%,42%,46%,45%,46%,44%,38%,41%,41%,44%,50%,48%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Fashion  Clothing   Less,309,126,183,78,95,86,28,22,15,76,89,63,66
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Fashion  Clothing   Less,31%,26%,36%,28%,34%,31%,25%,42%,12%,34%,34%,30%,38%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Socialising out of home eg In Restaurants bars  cafes  More ,284,162,122,94,80,67,34,9,64,64,75,47,34
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Socialising out of home eg In Restaurants bars  cafes  More ,28%,33%,24%,33%,29%,24%,30%,17%,50%,28%,29%,22%,19%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Socialising out of home eg In Restaurants bars  cafes  Same,368,195,173,105,101,99,42,21,35,86,101,73,73
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Socialising out of home eg In Restaurants bars  cafes  Same,37%,40%,34%,37%,37%,35%,37%,40%,27%,38%,39%,35%,41%
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Socialising out of home eg In Restaurants bars  cafes  Less,350,133,217,82,95,113,37,23,30,75,85,91,69
This Christmas how much money do you intend to spend in the following areas when compared to Christmas last year  Percentage of Socialising out of home eg In Restaurants bars  cafes  Less,35%,27%,42%,29%,34%,41%,33%,43%,23%,33%,33%,43%,39%
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Total,1002,490,512,281,276,279,113,53,129,225,261,211,176
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%,13%,22%,26%,21%,18%
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Always,253,102,151,63,78,65,32,15,36,59,68,54,36
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Percentage of Always,25%,0.208163265306122,0.294921875,0.224199288256228,0.282608695652174,0.232974910394265,0.283185840707965,0.283018867924528,0.27906976744186,0.262222222222222,0.260536398467433,0.255924170616114,0.204545454545455
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Often,384,187,197,116,99,97,47,25,50,87,98,85,64
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Percentage of Often,38%,0.381632653061225,0.384765625,0.412811387900356,0.358695652173913,0.347670250896057,0.415929203539823,0.471698113207547,0.387596899224806,0.386666666666667,0.375478927203065,0.402843601895735,0.363636363636364
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Sometimes ,261,140,121,77,75,82,20,7,34,57,80,39,51
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Percentage of Sometimes ,26%,0.285714285714286,0.236328125,0.274021352313167,0.271739130434783,0.293906810035842,0.176991150442478,0.132075471698113,0.263565891472868,0.253333333333333,0.306513409961686,0.184834123222749,0.289772727272727
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Rarely ,87,51,36,19,23,27,12,6,6,19,14,30,18
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Percentage of Rarely ,9%,0.104081632653061,0.0703125,0.0676156583629893,0.0833333333333333,0.0967741935483871,0.106194690265487,0.113207547169811,0.0465116279069767,0.0844444444444444,0.053639846743295,0.14218009478673,0.102272727272727
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Never ,17,10,7,6,1,8,2,0,3,3,1,3,7
How frequently do you typically buy something that you didn’t plan to buy when shopping in a supermarket grocery store or off licence at Christmas time  Percentage of Never ,2%,0.0204081632653061,0.013671875,0.0213523131672598,0.0036231884057971,0.028673835125448,0.0176991150442478,0,0.0232558139534884,0.0133333333333333,0.00383141762452107,0.014218009478673,0.0397727272727273
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Total,1001,490,512,281,276,279,113,53,129,225,261,211,176
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%,13%,22%,26%,21%,18%
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Always ,82,44,38,19,24,20,12,7,16,18,25,12,11
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Percentage of Always ,8%,0.0897959183673469,0.0743639921722113,0.0678571428571429,0.0869565217391304,0.0716845878136201,0.106194690265487,0.132075471698113,0.124031007751938,0.08,0.0957854406130268,0.0568720379146919,0.0628571428571429
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Often ,269,138,131,71,84,69,27,18,43,66,62,56,42
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Percentage of Often ,27%,0.281632653061224,0.256360078277886,0.253571428571429,0.304347826086957,0.247311827956989,0.238938053097345,0.339622641509434,0.333333333333333,0.293333333333333,0.237547892720307,0.265402843601896,0.24
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Sometimes ,413,185,228,132,96,117,50,18,43,95,103,93,79
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Percentage of Sometimes ,41%,0.377551020408163,0.446183953033268,0.471428571428571,0.347826086956522,0.419354838709677,0.442477876106195,0.339622641509434,0.333333333333333,0.422222222222222,0.39463601532567,0.440758293838863,0.451428571428571
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Rarely ,180,86,94,40,57,60,15,8,22,36,51,38,33
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Percentage of Rarely ,18%,0.175510204081633,0.183953033268102,0.142857142857143,0.206521739130435,0.21505376344086,0.132743362831858,0.150943396226415,0.170542635658915,0.16,0.195402298850575,0.180094786729858,0.188571428571429
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Never ,57,37,20,18,15,13,9,2,5,10,20,12,10
To what extent are the purchase decisions you make at Christmas in a supermarket grocery store or off licence impacted by the advertising you see  Percentage of Never ,6%,0.0755102040816327,0.0391389432485323,0.0642857142857143,0.0543478260869565,0.046594982078853,0.079646017699115,0.0377358490566038,0.0387596899224806,0.0444444444444444,0.0766283524904215,0.0568720379146919,0.0571428571428571
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Total,1002,490,512,281,276,279,113,53,129,225,261,211,176
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%,13%,22%,26%,21%,18%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Celebrity endorsements   Very impactful ,75,49,26,17,20,23,7,8,16,14,27,9,9
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Celebrity endorsements   Very impactful ,7%,10%,5%,6%,7%,8%,6%,15%,12%,6%,10%,4%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Celebrity endorsements   Fairly Impactful,149,81,68,32,42,49,19,7,24,35,30,30,30
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Celebrity endorsements   Fairly Impactful,15%,17%,13%,11%,15%,18%,17%,13%,19%,16%,11%,14%,17%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Celebrity endorsements   Neither,263,116,147,80,62,76,28,17,30,64,64,60,45
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Celebrity endorsements   Neither,26%,24%,29%,28%,22%,27%,25%,32%,23%,28%,25%,28%,26%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Celebrity endorsements   Not very impactful,252,103,149,83,71,62,28,8,42,56,65,51,38
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Celebrity endorsements   Not very impactful,25%,21%,29%,30%,26%,22%,25%,15%,33%,25%,25%,24%,22%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Celebrity endorsements   Not at all impactful,263,141,122,69,81,69,31,13,17,56,75,61,54
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Celebrity endorsements   Not at all impactful,26%,29%,24%,25%,29%,25%,27%,25%,13%,25%,29%,29%,31%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Health credentials   Very impactful ,165,85,80,46,38,48,21,12,22,32,55,29,27
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Health credentials   Very impactful ,16%,17%,16%,16%,14%,17%,19%,23%,17%,14%,21%,14%,15%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Health credentials   Fairly Impactful,410,180,230,113,121,110,47,19,58,85,100,89,78
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Health credentials   Fairly Impactful,41%,37%,45%,40%,44%,39%,42%,36%,45%,38%,38%,42%,44%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Health credentials   Neither,259,145,114,73,76,70,27,13,31,67,62,49,50
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Health credentials   Neither,26%,30%,22%,26%,28%,25%,24%,25%,24%,30%,24%,23%,28%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Health credentials   Not very impactful,118,56,62,33,28,39,10,8,17,30,28,31,12
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Health credentials   Not very impactful,12%,11%,12%,12%,10%,14%,9%,15%,13%,13%,11%,15%,7%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Health credentials   Not at all impactful,50,24,26,16,13,12,8,1,1,11,16,13,9
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Health credentials   Not at all impactful,5%,5%,5%,6%,5%,4%,7%,2%,1%,5%,6%,6%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Humour  Very impactful ,176,91,85,48,59,43,18,8,22,42,52,28,32
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Humour  Very impactful ,18%,19%,17%,17%,21%,15%,16%,15%,17%,19%,20%,13%,18%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Humour  Fairly Impactful,373,195,178,103,86,106,52,26,58,96,85,80,54
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Humour  Fairly Impactful,37%,40%,35%,37%,31%,38%,46%,49%,45%,43%,33%,38%,31%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Humour  Neither,302,139,163,91,87,86,23,15,29,58,92,60,63
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Humour  Neither,30%,28%,32%,32%,32%,31%,20%,28%,22%,26%,35%,28%,36%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Humour  Not very impactful,98,39,59,31,28,27,10,2,16,22,21,24,15
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Humour  Not very impactful,10%,8%,12%,11%,10%,10%,9%,4%,12%,10%,8%,11%,9%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Humour  Not at all impactful,53,26,27,8,16,17,10,2,4,7,11,19,12
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Humour  Not at all impactful,5%,5%,5%,3%,6%,6%,9%,4%,3%,3%,4%,9%,7%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Very impactful ,122,65,57,31,36,36,11,8,19,27,37,21,18
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Very impactful ,12%,13%,11%,11%,13%,13%,10%,15%,15%,12%,14%,10%,10%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Fairly Impactful,415,185,230,116,109,107,58,25,55,99,104,86,71
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Fairly Impactful,41%,38%,45%,41%,39%,38%,51%,47%,43%,44%,40%,41%,40%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Neither,293,153,140,94,76,85,21,17,36,71,68,61,57
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Neither,29%,31%,27%,33%,28%,30%,19%,32%,28%,32%,26%,29%,32%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Not very impactful,108,51,57,30,30,35,11,2,14,19,29,27,19
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Not very impactful,11%,10%,11%,11%,11%,13%,10%,4%,11%,8%,11%,13%,11%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Not at all impactful,64,36,28,10,25,16,12,1,5,9,23,16,11
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Not at all impactful,6%,7%,5%,4%,9%,6%,11%,2%,4%,4%,9%,8%,6%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Very impactful ,144,78,66,37,39,45,15,8,15,11,53,34,31
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Very impactful ,14%,16%,13%,13%,14%,16%,13%,15%,12%,5%,20%,16%,18%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Fairly Impactful,318,148,170,78,92,94,41,13,33,67,84,70,64
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Fairly Impactful,32%,30%,33%,28%,33%,34%,36%,25%,26%,30%,32%,33%,36%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Neither,327,165,162,102,86,87,28,24,38,82,81,69,57
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Neither,33%,34%,32%,36%,31%,31%,25%,45%,29%,36%,31%,33%,32%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Not very impactful,131,60,71,41,37,32,17,4,33,39,23,21,15
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Not very impactful,13%,12%,14%,15%,13%,11%,15%,8%,26%,17%,9%,10%,9%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Not at all impactful,82,39,43,23,22,21,12,4,10,26,20,17,9
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Old Fashioned values   Not at all impactful,8%,8%,8%,8%,8%,8%,11%,8%,8%,12%,8%,8%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Very impactful ,545,243,302,137,158,150,68,32,70,127,148,114,86
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Very impactful ,54%,50%,59%,49%,57%,54%,60%,60%,54%,56%,57%,54%,49%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Fairly Impactful,355,194,161,109,91,102,34,19,47,75,85,78,70
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Fairly Impactful,35%,40%,31%,39%,33%,37%,30%,36%,36%,33%,33%,37%,40%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Neither,76,39,37,25,21,22,6,2,9,16,23,14,14
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Neither,8%,8%,7%,9%,8%,8%,5%,4%,7%,7%,9%,7%,8%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Not very impactful,20,12,8,9,5,3,3,0,3,6,4,5,2
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Not very impactful,2%,2%,2%,3%,2%,1%,3%,0%,2%,3%,2%,2%,1%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Price cuts   Not at all impactful,6,2,4,1,1,2,2,0,0,1,1,0,4
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Price cuts   Not at all impactful,1%,0%,1%,0%,0%,1%,2%,0%,0%,0%,0%,0%,2%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Very impactful ,204,109,95,57,59,54,25,9,30,40,67,32,35
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Very impactful ,20%,22%,19%,20%,21%,19%,22%,17%,23%,18%,26%,15%,20%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Fairly Impactful,451,214,237,122,129,123,52,25,51,106,109,96,89
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Fairly Impactful,45%,44%,46%,43%,47%,44%,46%,47%,40%,47%,42%,45%,51%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Neither,233,107,126,66,61,62,27,17,32,55,54,57,35
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Neither,23%,22%,25%,23%,22%,22%,24%,32%,25%,24%,21%,27%,20%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Not very impactful,81,42,39,30,19,27,4,1,11,19,22,21,8
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Not very impactful,8%,9%,8%,11%,7%,10%,4%,2%,9%,8%,8%,10%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Premium  Quality credentials   Not at all impactful,33,18,15,6,8,13,5,1,5,5,9,5,9
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Premium  Quality credentials   Not at all impactful,3%,4%,3%,2%,3%,5%,4%,2%,4%,2%,3%,2%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Sustainability   Very impactful ,160,85,75,46,42,48,16,8,22,32,46,32,28
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Sustainability   Very impactful ,16%,17%,15%,16%,15%,17%,14%,15%,17%,14%,18%,15%,16%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Sustainability   Fairly Impactful,381,180,201,99,103,105,48,26,46,87,94,85,69
